ID,HS_ENGLISH,HS_MATH,HS_HISTORY,HS_LAB_SCIENCES,HS_FOREIGN_LANGUAGE,HS_ART,HS_ELECTIVES,HS_GPA,sex,WRITINGScore,GraduateONTime,Major
96,8,6,4,8,8,2,2,3.436248915,1,375,0,MKTG
97,8,10,6,5,6,4,0,3.062621394,0,483,0,MKTG
98,8,7,6,5,6,2,4,2.273113156,1,568,0,FIN
99,8,8,6,4,8,2,4,3.016124201,0,525,0,FIN
100,8,10,6,10,7,2,4,3.81301359,0,625,0,MKTG
101,8,8,8,6,8,2,0,3.583971159,1,625,0,FIN
102,8,8,6,6,4,4,6,4.027813888,0,348,0,MKTG
103,8,6,6,5,8,6,3,3.433807654,0,438,0,MKTG
104,8,8,4,4,4,4,2,3.625196449,0,359,1,MGMT
105,8,6,6,6,6,2,0,3.372981125,1,452,0,MKTG
106,8,10,6,8,6,2,0,4.260057377,0,591,0,MGMT
107,8,10,6,8,5,2,0,4.088937156,0,583,0,MKTG
108,8,8,5,8,6,13,1,3.2328376,0,503,0,MKTG
109,8,8,6,8,4,2,2,4.005874085,0,531,1,ACCT
110,8,8,6,6,4,5,2,3.836301027,0,411,1,MGMT
111,8,8,6,6,6,2,0,3.119971248,1,481,0,MKTG
112,8,10,8,6,8,2,0,3.621180075,0,320,0,FIN
113,8,8,6,7,6,2,0,3.624243274,0,536,0,MGMT
114,8,8,6,6,4,2,6,3.58399669,1,439,0,MKTG
115,8,8,6,8,6,2,0,3.367708484,1,409,0,MKTG
116,8,7,6,6,8,2,0,3.071075363,1,448,1,MGMT
117,8,6,7,4,7,2,0,2.370075021,0,510,0,MGMT
118,8,7,6,4,6,3,0,2.872027,0,459,0,ACCT
119,8,6,6,6,4,4,0,3.773502901,0,416,0,MGMT
120,8,8,6,6,4,2,3,2.8655275,0,525,0,MKTG
121,8,6,6,4,4,2,2,3.541269233,0,424,0,MGMT
122,8,8,6,4,4,2,0,3.22015092,1,412,1,MKTG
123,8,8,6,8,4,6,2,3.22101854,1,552,0,FIN
124,8,8,6,6,6,2,0,2.845125991,0,505,0,ACCT
125,8,10,6,6,4,3,2,3.316021186,0,544,0,FIN
126,8,8,4,6,6,2,0,2.885906639,1,411,0,MKTG
127,8,8,8,6,6,2,0,3.397220739,1,566,0,MGMT
128,8,6,6,6,6,2,2,3.598014791,0,464,0,FIN
129,8,8,6,6,6,2,2,3.19769571,1,651,1,FIN
130,8,8,8,6,6,2,2,3.604420186,0,558,1,MGMT
131,8,10,6,6,6,6,0,3.178136212,0,551,1,MGMT
132,8,7,8,8,4,2,1,3.278778819,1,358,1,FIN
133,8,6,5,8,6,4,3,2.952609503,0,387,1,FIN
134,8,8,8,8,4,3,0,4.110710793,1,507,0,MGMT
135,8,8,6,6,8,2,4,3.382549122,0,422,0,MGMT
136,8,10,6,8,8,2,2,3.560416212,1,580,1,ACCT
137,8,12,6,4,10,2,0,3.895561107,0,537,0,FIN
138,8,12,6,8,6,2,0,3.234161333,0,559,1,FIN
139,8,10,6,8,6,6,0,3.009731205,1,473,1,MKTG
140,8,10,6,8,6,2,0,3.026421644,1,433,1,FIN
141,8,10,8,8,6,2,0,3.889250175,0,517,1,MKTG
142,8,10,6,8,8,2,0,3.604704598,1,491,0,MGMT
143,8,10,6,8,4,2,2,2.606321087,0,431,0,MGMT
144,8,6,6,4,6,3,0,2.189597924,1,556,0,ACCT
145,8,8,6,8,6,2,0,3.498833718,0,525,0,MGMT
146,8,10,6,6,8,2,0,3.686783384,1,586,1,MKTG
147,8,10,6,8,4,2,2,3.856235115,1,492,0,MGMT
148,8,10,6,6,8,6,0,3.818197751,0,484,0,MKTG
149,8,8,4,3,6,7,3,2.786800082,1,420,0,FIN
150,8,10,6,8,6,2,0,3.691062623,1,415,1,ACCT
151,8,8,6,6,6,5,0,3.902853353,0,541,1,FIN
152,8,10,6,8,6,6,2,3.770205771,0,503,0,MKTG
153,8,7,6,7,4,4,1,2.906800581,1,519,1,MKTG
154,8,6,5,6,8,2,0,4.247219748,0,503,1,ACCT
155,8,8,5,6,6,2,1,2.629197225,1,605,0,MKTG
156,10,6,4,5,4,6,4,2.273496077,0,595,0,MGMT
157,8,10,6,8,6,6,2,3.169499314,0,560,0,MKTG
158,8,8,6,4,6,4,2,3.960734188,0,451,0,MKTG
159,8,8,6,6,9,2,0,3.058456739,0,486,0,MKTG
160,8,6,7,6,6,4,0,3.780945149,0,349,0,FIN
161,8,8,6,8,10,2,0,3.354947329,0,551,0,MGMT
162,8,8,6,6,8,2,0,3.708706078,1,570,0,FIN
163,8,8,6,7,6,2,0,2.883423126,1,375,0,MGMT
164,8,10,6,6,6,3,1,2.88787551,0,438,0,MKTG
165,8,9,8,6,6,3,0,3.257670258,0,533,0,ACCT
166,8,10,6,6,4,2,3,3.332781143,1,387,0,MGMT
167,8,10,6,8,6,4,2,3.923418331,0,545,0,FIN
168,8,6,6,5,4,7,0,2.626492703,1,441,0,ACCT
169,8,10,6,12,8,2,3,3.013819032,0,441,0,FIN
170,8,7,6,8,6,3,2,3.207971776,1,444,0,FIN
171,8,10,6,6,4,4,2,3.408929134,0,572,0,MKTG
172,9,10,6,8,8,2,11,3.988199459,1,427,1,ACCT
173,9,8,7,8,11,4,0,2.357107409,1,402,0,FIN
174,8,10,7,8,6,2,0,4.03230652,1,386,0,MGMT
175,8,10,6,6,6,11,0,2.790666607,0,458,0,MKTG
